city,population_proper
"Royersford, PA",4762
"Grandview, PA",
"Slickville, PA",
"Elrama, PA",
"Jefferson, PA",734
"Granville, PA",
"Centerport, PA",398
"Reading, PA",87575
"Boquet, PA",
"Du Bois, PA",7543
"Madisonburg, PA",
"Selinsgrove, PA",5890
"Galeton, PA",1109
"Everett, PA",1745
"Sunbury, PA",9571
"Boiling Springs, PA",
"Railroad, PA",279
"Old Forge, PA",8000
"Leetsdale, PA",1187
"Gordonville, PA",
"Highland Park, PA",
"Pikes Creek, PA",
"Bairdford, PA",
"Port Vue, PA",3708
"Boston, PA",
"East Salem, PA",
"West Grove, PA",2842
"Watters, PA",
"Middleport, PA",386
"Truxall, PA",
"Bendersville, PA",641
"Cross Roads, PA",514
"New Freeport, PA",
"Derry, PA",2570
"Eastvale, PA",221
"Homewood, PA",107
"Emerald Lakes, PA",
"Coaldale, PA",2187
"Churchville, PA",
"Springville, PA",
"New Florence, PA",659
"Delta, PA",721
"Venango, PA",241
"Guthriesville, PA",
"Susquehanna Trails, PA",
"Paoli, PA",
"West Middlesex, PA",833
"Shanksville, PA",228
"Gallitzin, PA",1587
"Mount Holly Springs, PA",2041
"Wattsburg, PA",382
"Limerick, PA",
"Collegeville, PA",5254
"Shiloh, PA",
"Highspire, PA",2370
"Jeddo, PA",97
"Cecil, PA",
"Jones Mills, PA",
"Sweden Valley, PA",
"Pleasureville, PA",
"West Sunbury, PA",187
"Millerstown, PA",670
"Fairchance, PA",1913
"Westport, PA",
"Penn, PA",472
"Somerset, PA",5991
"Edgewood, PA",3039
"Upper Exeter, PA",
"Bonneauville, PA",1824
"Conshohocken, PA",7982
"Bechtelsville, PA",936
"Moon Run, PA",
"New Tripoli, PA",
"Blue Bell, PA",
"New Cumberland, PA",7299
"Stobo, PA",
"Lucinda, PA",
"Millwood, PA",
"Bigler, PA",
"Butler Junction, PA",
"Mechanicsville, PA",445
"Valley-Hi, PA",15
"Avonia, PA",
"Elderton, PA",348
"Longfellow, PA",
"Egypt, PA",
"Huntingdon, PA",6990
"Bethel Park, PA",31911
"Zelienople, PA",3690
"Markleysburg, PA",277
"Robinson, PA",
"Spring Church, PA",
"Harrisville, PA",874
"Laceyville, PA",359
"Clarksville, PA",229
"Doylestown, PA",8280
"Churchtown, PA",
"Lilly, PA",917
"Glen Hope, PA",139
"Summerhill, PA",459
"Carmichaels, PA",461
"Morgantown, PA",
"Crucible, PA",
"Bedford, PA",2721
"Loganville, PA",1230
"Dublin, PA",2157
"Falls Creek, PA",1012
"Antrim, PA",
"Shelocta, PA",125
"Plumville, PA",296
"Frazer, PA",
"Manifold, PA",
"Trappe, PA",3553
"New Sheffield, PA",
"Laflin, PA",1466
"Telford, PA",4847
"New Columbus, PA",225
"Dalton, PA",1208
"Prospect Park, PA",6472
"Rochester, PA",3534
"Chesterbrook, PA",
"Reinerton, PA",
"Newville, PA",1331
"Whitehall, PA",13749
"Kutztown, PA",5017
"Phoenixville, PA",16885
"Treasure Lake, PA",
"Hartstown, PA",
"East Earl, PA",
"Woodside, PA",
"North York, PA",2021
"Christiana, PA",1168
"Osborne, PA",
"Blain, PA",261
"Starrucca, PA",165
"Southampton, PA",
"Witmer, PA",
"Cresco, PA",
"Jackson Center, PA",217
"Cheyney, PA",
"Bridgeport, PA",4561
"New Ringgold, PA",269
"Carrolltown, PA",811
"Annville, PA",
"East Greenville, PA",2979
"Conyngham, PA",1870
"Slippery Rock, PA",3583
"West Mifflin, PA",19921
"Needmore, PA",
"Newton Hamilton, PA",203
"Dawson, PA",356
"Spry, PA",
"Fox Chase, PA",
"Davidsville, PA",
"Oliver, PA",
"Gibraltar, PA",
"Bethel, PA",
"Light Street, PA",
"North Vandergrift, PA",
"Ramey, PA",442
"Skippack, PA",
"Brockport, PA",
"Sarver, PA",
"California, PA",6466
"South Coatesville, PA",1427
"East Rochester, PA",544
"Shavertown, PA",
"Loyalhanna, PA",
"Bally, PA",1101
"Maitland, PA",
"Mayfield, PA",1723
"Port Matilda, PA",594
"Turbotville, PA",681
"Winterstown, PA",622
"Buck Run, PA",
"Concordville, PA",
"Northbrook, PA",
"Spinnerstown, PA",
"Coal Center, PA",137
"Palmyra, PA",7510
"Jennerstown, PA",662
"South Bethlehem, PA",456
"Stonerstown, PA",
"Intercourse, PA",
"York Haven, PA",698
"Moylan, PA",
"Hamorton, PA",
"Hamlin, PA",
"Cassville, PA",141
"Iselin, PA",
"Emmaus, PA",11394
"Mount Gretna Heights, PA",
"South Williamsport, PA",6231
"Lawrence Park, PA",
"Hughestown, PA",1373
"Fort Washington, PA",
"Pleasant Hills, PA",8189
"Mapleton, PA",425
"Driftwood, PA",63
"Lenape Heights, PA",
"Village Green, PA",
"Sheppton, PA",
"Monessen, PA",7413
"New Buffalo, PA",128
"Glendale, PA",
"Woodward, PA",
"Atkinson Mills, PA",
"Marion Center, PA",430
"East Freedom, PA",
"Bakerstown, PA",
"Lake Wynonah, PA",
"Paxtonia, PA",
"Goodville, PA",
"Speers, PA",1123
"Bernville, PA",947
"Park Crest, PA",
"Rockwood, PA",846
"Sugar Notch, PA",967
"Lake Meade, PA",
"Grantley, PA",
"Douglassville, PA",
"Scalp Level, PA",731
"Rockledge, PA",2536
"Linglestown, PA",
"Shade Gap, PA",104
"West Falls, PA",
"Hazel Hurst, PA",
"Kulpmont, PA",2827
"Big Beaver, PA",1903
"Dauberville, PA",
"Keeneyville, PA",
"Tannersville, PA",
"Portland Mills, PA",
"Faxon, PA",
"Mainville, PA",
"Holiday Pocono, PA",
"Alexandria, PA",329
"Trexlertown, PA",
"Cornwells Heights, PA",
"Reamstown, PA",
"Philipsburg, PA",2719
"Saegertown, PA",965
"Loysburg, PA",
"Stouchsburg, PA",
"Alum Bank, PA",
"Petrolia, PA",206
"Muhlenberg Park, PA",
"Sligo, PA",684
"Clymer, PA",1293
"Plains, PA",
"Shickshinny, PA",823
"Stockertown, PA",916
"Warriors Mark, PA",
"Norristown, PA",34370
"Colonial Park, PA",
"Port Allegany, PA",2053
"Toftrees, PA",
"West Pike, PA",
"Pittsburgh, PA",303625
"Moscow, PA",1947
"Freeland, PA",3438
"Donora, PA",4622
"Lawson Heights, PA",
"Apollo, PA",1572
"Ambridge, PA",6787
"West Kittanning, PA",1122
"West Hazleton, PA",4472
"East Waterford, PA",
"Roulette, PA",
"Bear Creek Village, PA",259
"Bell Point, PA",
"Ludlow, PA",
"Linntown, PA",
"Lavelle, PA",
"Curwensville, PA",2456
"Lincolnville, PA",
"Montrose Hill, PA",
"Taylor, PA",5975
"Silkworth, PA",
"Dry Tavern, PA",
"Patterson Heights, PA",610
"Earlston, PA",
"Hughesville, PA",2084
"Elizabethtown, PA",11629
"Greencastle, PA",4035
"Cadogan, PA",
"Dewart, PA",
"Midland, PA",2539
"Laurel Run, PA",498
"Shay, PA",
"Lattimer, PA",
"Edgeworth, PA",1649
"Ranshaw, PA",
"Boyers, PA",
"Dime, PA",
"Strabane, PA",
"Barrville, PA",
"North Springfield, PA",
"Broomall, PA",
"Conemaugh, PA",
"Daisytown, PA",312
"Gwynedd Valley, PA",
"West Milton, PA",
"Franklin, PA",6231
"Boswell, PA",1214
"Laureldale, PA",3871
"Emlenton, PA",592
"Geigertown, PA",
"Perrysville, PA",
"Cherry Valley, PA",64
"Coalport, PA",502
"Lower Burrell, PA",11367
"Loag, PA",
"Lawrenceville, PA",611
"Mount Vernon, PA",
"Newmanstown, PA",
"Mountain Top, PA",
"West Fairview, PA",
"McMurray, PA",
"Gladwyne, PA",
"Richboro, PA",
"Fort Indiantown Gap, PA",
"Pine Ridge, PA",
"Lock Haven, PA",9549
"Harmarville, PA",
"Beaver Springs, PA",
"Avis, PA",1496
"Jermyn, PA",2079
"Altamont, PA",
"Springboro, PA",454
"Versailles, PA",1482
"Wescosville, PA",
"Coral, PA",
"East Petersburg, PA",4520
"Clarks Green, PA",1418
"Manor, PA",3321
"Gilbertsville, PA",
"Hiller, PA",
"Mocanaqua, PA",
"West Liberty, PA",338
"Lime Ridge, PA",
"Mill Hall, PA",1613
"Albrightsville, PA",
"Darlington, PA",249
"Sellersville, PA",4261
"Willow Street, PA",
"Foxburg, PA",177
"Milroy, PA",
"Longwood, PA",
"Platea, PA",406
"Eau Claire, PA",296
"The Hideout, PA",
"Simpson, PA",
"Yeadon, PA",11493
"Warrior Run, PA",576
"Espy, PA",
"South Renovo, PA",431
"Paxtonville, PA",
"Oakland, PA",567
"Dushore, PA",572
"Westwood, PA",
"Kapp Heights, PA",
"Harrison Valley, PA",
"Darby, PA",10654
"Karns City, PA",207
"Bolivar, PA",440
"Emigsville, PA",
"Walnuttown, PA",
"Progress, PA",
"Casselman, PA",93
"State Line, PA",
"Bessemer, PA",1070
"New Washington, PA",58
"Lake City, PA",2938
"Sadsburyville, PA",
"Lansford, PA",3767
"Waynesboro, PA",10845
"Eyers Grove, PA",
"Catawissa, PA",1499
"Dry Run, PA",
"Holland, PA",
"Albion, PA",1465
"North Bend, PA",
"Marion Heights, PA",595
"Bryn Mawr, PA",
"Silverdale, PA",855
"Crafton, PA",5820
"Honesdale, PA",4180
"Bucktown, PA",
"Fox Chapel, PA",5338
"Lenhartsville, PA",166
"Donegal, PA",119
"White Mills, PA",
"Hollidaysburg, PA",5757
"Iola, PA",
"Wind Ridge, PA",
"New Eagle, PA",2108
"Orson, PA",
"Wesleyville, PA",3194
"Howard, PA",730
"Lower Allen, PA",
"Allentown, PA",120443
"Strodes Mills, PA",
"Sweet Valley, PA",
"Yorkana, PA",230
"Bradenville, PA",
"Pleasant Unity, PA",
"Armbrust, PA",
"Dauphin, PA",795
"Hokendauqua, PA",
"Meyersdale, PA",2065
"Zion, PA",
"North Apollo, PA",1246
"Forest Hills, PA",6380
"Arona, PA",347
"Adamstown, PA",1838
"Glade Mills, PA",
"Smicksburg, PA",44
"New Kingstown, PA",
"Conneautville, PA",753
"Kennett Square, PA",6160
"Cowden, PA",
"Brownstown, PA",699
"Penryn, PA",
"Freedom, PA",1512
"Womelsdorf, PA",2855
"Dupont, PA",2672
"Mifflintown, PA",928
"Starbrick, PA",
"Clay, PA",
"Blairsville, PA",3294
"Lake Arthur Estates, PA",
"Mildred, PA",
"Halifax, PA",830
"Vintondale, PA",385
"Enhaut, PA",
"West View, PA",6622
"Wilburton Number One, PA",
"Strasburg, PA",2939
"Goshenville, PA",
"Sharon, PA",13405
"Mountville, PA",2849
"Emporium, PA",1912
"Wormleysburg, PA",3082
"Green Lane, PA",498
"Soudersburg, PA",
"Wyano, PA",
"Beaver Falls, PA",8581
"Middleburg, PA",1307
"East Butler, PA",698
"Sheakleyville, PA",134
"Fairdale, PA",
"New Philadelphia, PA",1047
"Stormstown, PA",
"Punxsutawney, PA",5814
"Vanderbilt, PA",462
"Myoma, PA",
"Factoryville, PA",1181
"Milligantown, PA",
"Laporte, PA",300
"Glen Rock, PA",2041
"Fivepointville, PA",
"Shirleysburg, PA",148
"Cashtown, PA",
"Callimont, PA",40
"Creighton, PA",
"Mount Wolf, PA",1381
"Dornsife, PA",
"Mount Union, PA",2393
"Elimsport, PA",
"Gastonville, PA",
"Calumet, PA",
"Fairville, PA",
"Library, PA",
"Ercildoun, PA",
"Birmingham, PA",89
"Mamont, PA",
"Pine Glen, PA",
"Utica, PA",182
"Church Hill, PA",
"Hellertown, PA",5830
"Schlusser, PA",
"Dingmans Ferry, PA",
"Genesee, PA",
"Dallastown, PA",3812
"West York, PA",4559
"Littlestown, PA",4468
"Bradford Hills, PA",
"Eldred, PA",794
"Warrington, PA",
"Sigel, PA",
"Beech Mountain Lakes, PA",
"Mifflinville, PA",
"Dickson City, PA",5833
"Manns Choice, PA",295
"Paintertown, PA",
"Parker Ford, PA",
"Newry, PA",266
"Wakefield, PA",
"Fawn Lake Forest, PA",
"Meadow Lands, PA",
"Jennersville, PA",
"Almedia, PA",
"Mill Creek, PA",328
"Northern Cambria, PA",3616
"Clifton Heights, PA",6689
"Salisbury, PA",693
"Warrendale, PA",
"Lyndora, PA",
"Wilson, PA",7786
"Dunbar, PA",1008
"Susquehanna, PA",
"Dudley, PA",186
"Aspinwall, PA",2737
"Briar Creek, PA",675
"Highcliff, PA",
"Jacksonwald, PA",
"Pennsbury Village, PA",667
"Candor, PA",
"Morrisdale, PA",
"North Warren, PA",
"Laurys Station, PA",
"Southwest Greensburg, PA",2066
"Enola, PA",
"McElhattan, PA",
"Rutledge, PA",792
"Cherry Tree, PA",351
"Guys Mills, PA",
"Ashley, PA",2705
"Rebersburg, PA",
"Pricedale, PA",
"Lorain, PA",714
"Leechburg, PA",2048
"New Centerville, PA",130
"Upper Darby, PA",
"Spring City, PA",3301
"Marguerite, PA",
"Little Britain, PA",
"Muncy, PA",2446
"Saxonburg, PA",1480
"Flourtown, PA",
"Prompton, PA",237
"Franklin Park, PA",14518
"Castanea, PA",
"Skyline View, PA",
"Liberty, PA",2498
"Hyde Park, PA",475
"Kiskimere, PA",
"Drifton, PA",
"Millsboro, PA",
"New Galilee, PA",360
"McAdoo, PA",2193
"Westland, PA",
"Smoketown, PA",
"Stowe, PA",
"Buffington, PA",
"Cairnbrook, PA",
"Marion, PA",
"Avondale, PA",1394
"Kistler, PA",324
"Jersey Shore, PA",4241
"Homer City, PA",1626
"East Lansdowne, PA",2656
"Harveys Lake, PA",2773
"Jerseytown, PA",
"Buffalo, PA",
"Hulmeville, PA",989
"Anita, PA",
"Aldan, PA",4154
"Edie, PA",
"Salladasburg, PA",237
"Dayton, PA",524
"Pine Grove, PA",2108
"New Berlinville, PA",
"Pleasantville, PA",847
"Hyde, PA",
"Newburg, PA",341
"Belfast, PA",
"Niverton, PA",
"Cetronia, PA",
"New Morgan, PA",76
"Rowes Run, PA",
"Palmer Heights, PA",
"Saint Peters, PA",
"Harmonsburg, PA",
"Winfield, PA",
"Union Dale, PA",240
"Derrick City, PA",
"Stewartstown, PA",2302
"Rankin, PA",2069
"Shenandoah, PA",4847
"McVeytown, PA",329
"Westover, PA",378
"Penn Estates, PA",
"Belle Vernon, PA",1062
"Lincoln, PA",1051
"Knoxville, PA",617
"Beach Lake, PA",
"Lampeter, PA",
"Atwood, PA",104
"Etna, PA",3368
"Gaines, PA",
"Fredericktown, PA",
"Haysville, PA",70
"Bruin, PA",501
"Hastings, PA",1207
"Parkesburg, PA",3747
"Paulton, PA",
"Auburn, PA",708
"Ohiopyle, PA",57
"Riegelsville, PA",854
"Oval, PA",
"Lima, PA",
"Seven Fields, PA",2823
"Deemston, PA",710
"Jim Thorpe, PA",4607
"Wellsboro, PA",3275
"Delaware Water Gap, PA",709
"Felton, PA",503
"Biglerville, PA",1206
"Gladden, PA",
"Shinglehouse, PA",1081
"Bowers, PA",
"East Smithfield, PA",
"Wilburton Number Two, PA",
"Aristes, PA",
"Bangor, PA",5190
"Union City, PA",3188
"Stoneboro, PA",1001
"Wellsville, PA",260
"Export, PA",873
"Larimer, PA",
"Spartansburg, PA",299
"Maysville, PA",
"Strattanville, PA",519
"Sheatown, PA",
"Claysville, PA",831
"Bishop, PA",
"Lake Ariel, PA",
"Clearfield, PA",5976
"Manheim, PA",4856
"Millbourne, PA",1159
"Mount Joy, PA",8104
"Mahanoy City, PA",4006
"Rossiter, PA",
"Bushkill, PA",
"Mont Clare, PA",
"Newtown, PA",2229
"Blue Ball, PA",
"Strong, PA",
"South Montrose, PA",
"Luzerne, PA",2801
"Table Rock, PA",
"Connoquenessing, PA",628
"New Lebanon, PA",178
"Bulger, PA",
"Newport, PA",1562
"Lincoln Park, PA",
"Rheems, PA",
"Penbrook, PA",2962
"Bobtown, PA",
"Tylersville, PA",
"Sankertown, PA",641
"Trevose, PA",
"Souderton, PA",6883
"Burnham, PA",2004
"Milford Square, PA",
"West Hamburg, PA",
"Aladdin, PA",
"Warwick, PA",
"Leesport, PA",1876
"Herminie, PA",
"East Berwick, PA",
"Ickesburg, PA",
"Williamstown, PA",1369
"Yatesville, PA",601
"Linden, PA",
"Saxton, PA",701
"Saint Lawrence, PA",1809
"Bacton, PA",
"Long Branch, PA",429
"Crenshaw, PA",
"Glenfield, PA",212
"South Philipsburg, PA",
"Campbelltown, PA",
"Harleysville, PA",
"Criders Corners, PA",
"Sunset Valley, PA",
"Sugar Grove, PA",590
"Rimersburg, PA",901
"Thompsontown, PA",682
"Beaver, PA",4378
"Pleasant View, PA",
"Mount Oliver, PA",3321
"Patton, PA",1658
"Ehrenfeld, PA",220
"North Philipsburg, PA",
"Colwyn, PA",2546
"Ursina, PA",208
"Monaca, PA",5591
"Vandling, PA",719
"Temple, PA",
"Rixford, PA",
"East Stroudsburg, PA",10189
"Brooklyn, PA",
"Mansfield, PA",3211
"Portage, PA",2476
"North Irwin, PA",812
"Benson, PA",184
"Bethany, PA",232
"Marcus Hook, PA",2389
"Heidlersburg, PA",
"Matamoras, PA",2364
"Vanport, PA",
"Blandon, PA",
"Force, PA",
"Cammal, PA",
"Jacobus, PA",1848
"Bethlehem, PA",75293
"Mingoville, PA",
"Carroll Valley, PA",3939
"Coraopolis, PA",5536
"Stockdale, PA",500
"Yoe, PA",1010
"Imperial, PA",
"James City, PA",
"Sidman, PA",
"West Alexander, PA",
"Siglerville, PA",
"New Market, PA",
"Bowmansville, PA",
"Houtzdale, PA",769
"Fairoaks, PA",
"Linesville, PA",995
"Oxford, PA",5392
"Tipton, PA",
"North Catasauqua, PA",2831
"Marienville, PA",
"Rogersville, PA",
"Orchard Hills, PA",
"Waller, PA",
"Mount Pleasant, PA",4325
"Houston, PA",1247
"East Berlin, PA",1529
"Muir, PA",
"Youngwood, PA",2928
"Wellersburg, PA",178
"Dryville, PA",
"Exton, PA",
"Southmont, PA",2148
"Pittston, PA",7602
"Farmersville, PA",
"Rose Tree, PA",
"Saint Marys, PA",12499
"New Beaver, PA",1436
"Rosslyn Farms, PA",424
"Brookhaven, PA",8066
"Leeper, PA",
"Browntown, PA",
"Milford, PA",974
"Bellevue, PA",8172
"Bird in Hand, PA",
"Collingdale, PA",8765
"Bridgeville, PA",5046
"Salunga, PA",
"Greenwood, PA",
"Schuylkill Haven, PA",5203
"Eddystone, PA",2399
"Trucksville, PA",
"Sardis, PA",
"Mount Pocono, PA",3052
"Orviston, PA",
"Berwick, PA",10138
"Prospectville, PA",
"West Nanticoke, PA",
"New Alexandria, PA",544
"Vicksburg, PA",
"Wilkes-Barre, PA",40569
"Shrewsbury, PA",3858
"Alfarata, PA",
"Milton, PA",6903
"McKeesport, PA",19273
"Glen Lyon, PA",
"Wagner, PA",
"Gilberton, PA",739
"Slate Lick, PA",
"Cochranville, PA",
"Oakmont, PA",6428
"Montgomeryville, PA",
"Meridian, PA",
"Christy Manor, PA",
"New Freedom, PA",4651
"Hop Bottom, PA",306
"Newell, PA",525
"Northvue, PA",
"Duboistown, PA",1201
"Maple Glen, PA",
"West Lawn, PA",
"South Uniontown, PA",
"West Brownsville, PA",964
"Morrisville, PA",8552
"Gouldsboro, PA",
"Bauerstown, PA",
"Adamsville, PA",
"Chester, PA",33988
"West Decatur, PA",
"Beaverdale, PA",
"Newfoundland, PA",
"Brownsville, PA",2270
"Glenside, PA",
"Ellwood City, PA",7535
"Groveton, PA",
"Blandburg, PA",
"Spring Mount, PA",
"Sun Valley, PA",
"Kimberton, PA",
"Brookville, PA",3836
"Springmont, PA",
"Brisbin, PA",392
"Pleasant Valley, PA",
"Foster Brook, PA",
"Mill Village, PA",387
"Pocono Mountain Lake Estates, PA",
"Salina, PA",
"Newtown Square, PA",
"Greenville, PA",5602
"Houserville, PA",
"Millheim, PA",886
"Rehrersburg, PA",
"Lawrence, PA",
"Schellsburg, PA",331
"Five Points, PA",
"Wernersville, PA",2529
"Point Marion, PA",1126
"Baidland, PA",
"Ambler, PA",6500
"Bradford, PA",8369
"Green Tree, PA",4927
"Brandywine Manor, PA",
"Marshallton, PA",
"Orrstown, PA",265
"Tullytown, PA",1848
"East Vandergrift, PA",646
"New Berlin, PA",867
"Cementon, PA",
"Gold, PA",
"Wall, PA",566
"Greeley, PA",
"Gettysburg, PA",7700
"Hebron, PA",
"Crosby, PA",
"Stroudsburg, PA",5416
"Roaring Spring, PA",2513
"Harmony, PA",856
"Feasterville, PA",
"Bovard, PA",
"Nesquehoning, PA",3227
"Pocono Pines, PA",
"McSherrystown, PA",3059
"Springdale, PA",3344
"Central City, PA",1062
"Graterford, PA",
"Geneva, PA",
"Berrysburg, PA",373
"Mohrsville, PA",
"Quentin, PA",
"Fernville, PA",
"Shillington, PA",5246
"Allenport, PA",522
"West Wyoming, PA",2675
"Knox, PA",1086
"East Uniontown, PA",
"Jacksonville, PA",
"Ferndale, PA",1539
"Wynnewood, PA",
"Treveskyn, PA",
"Slatedale, PA",
"Rauchtown, PA",
"Oil City, PA",10017
"Hyndman, PA",875
"Lionville, PA",
"Morgan, PA",
"Lewisburg, PA",5699
"Conneaut Lake, PA",633
"Prospect, PA",1125
"Girard, PA",2996
"Alba, PA",151
"East Pittsburgh, PA",1776
"Culmerville, PA",
"Hallam, PA",2658
"Ronks, PA",
"Riddlesburg, PA",
"Corsica, PA",349
"La Quinta, CA",40956
"Saint Helena, CA",6154
"Burney, CA",
"Kensington, CA",
"Upper Lake, CA",
"Pleasant Hill, CA",34853
"Leggett, CA",
"Pomona, CA",152494
"Fieldbrook, CA",
"Oakdale, CA",22564
"Thermalito, CA",
"Knights Landing, CA",
"Big Oak Flat, CA",
"Guerneville, CA",
"Upland, CA",76684
"Riverbank, CA",24389
"Waterloo, CA",
"Montrose, CA",
"Industry, CA",205
"Jacumba Hot Springs, CA",
"Amador City, CA",191
"Brea, CA",42471
"Bella Vista, CA",
"San Jacinto, CA",47413
"Redding, CA",91808
"Exeter, CA",10506
"Goshen, CA",
"Templeton, CA",
"East Nicolaus, CA",
"Hercules, CA",25360
"Johnsville, CA",
"Biola, CA",
"Moorpark, CA",36481
"Windsor, CA",27555
"El Monte, CA",115807
"Calistoga, CA",5311
"Bucks Lake, CA",
"Wilseyville, CA",
"Igo, CA",
"Hat Creek, CA",
"Mesa Verde, CA",
"Sebastopol, CA",7678
"Avery, CA",
"McKittrick, CA",
"Clearlake, CA",15053
"Sawyers Bar, CA",
"Irwin, CA",
"Burbank, CA",104447
"Discovery Bay, CA",
"North San Juan, CA",
"Rancho Santa Margarita, CA",48969
"Komandorski Village, CA",
"Casa Conejo, CA",
"South Whittier, CA",
"Manhattan Beach, CA",35741
"Green Valley, CA",
"Orleans, CA",
"Quincy, CA",
"Ignacio, CA",
"Rolling Hills, CA",1887
"Leona Valley, CA",
"Valley Ford, CA",
"Kelso, CA",
"Pope Valley, CA",
"Montgomery Creek, CA",
"Orangevale, CA",
"Ahwahnee, CA",
"Hacienda Heights, CA",
"Vernon, CA",113
"Corning, CA",7535
"Maywood, CA",27633
"La Habra Heights, CA",5411
"Thousand Palms, CA",
"Angwin, CA",
"Centerville, CA",
"East Palo Alto, CA",29684
"Mount Hermon, CA",
"Forestville, CA",
"South San Gabriel, CA",
"Valley Acres, CA",
"Westhaven, CA",
"Del Mar, CA",4365
"Lakewood, CA",81138
"Interlaken, CA",
"Irvine, CA",266122
"Woodacre, CA",
"Windsor Hills, CA",
"Miranda, CA",
"Greenview, CA",
"Nevada City, CA",3145
"Sunset Beach, CA",
"Big Lagoon, CA",
"Silver Lakes, CA",
"Sunnymead, CA",
"Buckhorn, CA",
"Topanga, CA",
"Norco, CA",26714
"Knightsen, CA",
"Maxwell, CA",
"Rocklin, CA",62787
"Carmel Valley Village, CA",
"Cameron Park, CA",
"Salinas, CA",157218
"West Rancho Dominguez, CA",
"Poplar, CA",
"Pinehurst, CA",
"San Miguel, CA",
"Goffs, CA",
"Newark, CA",45810
"Apple Valley, CA",72553
"Del Rosa, CA",
"Bell Gardens, CA",42806
"Lodi, CA",64641
"Montague, CA",1399
"Foster City, CA",34175
"Orcutt, CA",
"Ladera, CA",
"Vallejo, CA",121299
"Vidal, CA",
"Challenge, CA",
"La Riviera, CA",
"Indio, CA",88488
"Jamul, CA",
"Foresthill, CA",
"Rainbow, CA",
"Redcrest, CA",
"Cromberg, CA",
"Hodge, CA",
"Tiburon, CA",9176
"Hesperia, CA",93724
"Jamestown, CA",
"Azusa, CA",49628
"Narod, CA",
"Big Bear Lake, CA",5235
"Yosemite Lakes, CA",
"Morongo Valley, CA",
"Concow, CA",
"Helendale, CA",
"Fall River Mills, CA",
"Emeryville, CA",11671
"Fairhaven, CA",
"Elverta, CA",
"Paradise Park, CA",
"Aspen Springs, CA",
"Hollister, CA",37833
"Fair Oaks, CA",
"Vina, CA",
"Brooktrails, CA",
"Whitethorn, CA",
"Meiners Oaks, CA",
"Paskenta, CA",
"Winter Gardens, CA",
"Tupman, CA",
"Cherokee, CA",
"Sand City, CA",383
"Rancho Santa Fe, CA",
"Buellton, CA",5095
"Waterford, CA",8861
"Silverado, CA",
"Golden Hills, CA",
"Dorrington, CA",
"Standish, CA",
"Loleta, CA",
"McKinleyville, CA",
"Cathedral City, CA",54056
"Minkler, CA",
"Pike, CA",
"Pine Flat, CA",
"Rolinda, CA",
"Hinkley, CA",
"Dos Rios, CA",
"Weedpatch, CA",
"Cayucos, CA",
"Fallbrook, CA",
"Emerald Bay, CA",
"Buena Park, CA",83156
"Panorama Heights, CA",
"Trinidad, CA",359
"Farmington, CA",
"Mono Vista, CA",
"Shore Acres, CA",
"Saranap, CA",
"Kelseyville, CA",
"Lakeport, CA",4772
"Castle Park, CA",
"Omo Ranch, CA",
"Williams, CA",5192
"West Athens, CA",
"Santa Ana Heights, CA",
"Pinedale, CA",
"El Segundo, CA",16893
"Forbestown, CA",
"Paso Robles, CA",
"Los Altos, CA",30561
"Bakersfield, CA",376380
"Black Point, CA",
"Cutler, CA",
"San Bernardino, CA",216239
"Long Barn, CA",
"June Lake, CA",
"Walnut Grove, CA",
"Encinitas, CA",63131
"Rubidoux, CA",
"Loomis, CA",6767
"Trowbridge, CA",
"Santa Fe Springs, CA",18027
"Twain, CA",
"Eldridge, CA",
"Old Station, CA",
"Paradise, CA",26551
"Granite Bay, CA",
"Covelo, CA",
"American Canyon, CA",20452
"El Centro, CA",44201
"Whittier, CA",86883
"Spring Garden, CA",
"Pacheco, CA",
"Cowan Heights, CA",
"Millville, CA",
"East Orosi, CA",
"Almonte, CA",
"Eagleville, CA",
"Soda Springs, CA",
"Pine Hills, CA",
"Washington, CA",
"Duarte, CA",21801
"Rockport, CA",
"Three Rivers, CA",
"Sanger, CA",25007
"Chula Vista, CA",267172
"Indianola, CA",
"Mammoth Lakes, CA",7994
"Dustin Acres, CA",
"Jackson, CA",4678
"Di Giorgio, CA",
"Phoenix Lake, CA",
"Adelanto, CA",33391
"China Lake Acres, CA",
"Vinton, CA",
"Rio Del Mar, CA",
"Fort Jones, CA",688
"Conejo, CA",
"Twentynine Palms, CA",26049
"Mount Laguna, CA",
"Rail Road Flat, CA",
"Sutter, CA",
"Cleone, CA",
"Caribou, CA",
"Zayante, CA",
"Cupertino, CA",60643
"Tennant, CA",
"Terra Bella, CA",
"Stratford, CA",
"Charter Oak, CA",
"Dollar Point, CA",
"Edgemont, CA",
"Palm Springs, CA",47689
"Mettler, CA",
"Trona, CA",
"Fullerton, CA",140721
"Coto De Caza, CA",
"Applegate, CA",
"Lompoc, CA",43712
"Tuttletown, CA",
"East Richmond Heights, CA",
"Victorville, CA",122265
"Desert Shores, CA",
"Hiouchi, CA",
"Idyllwild, CA",
"Crescent City, CA",6670
"Riverdale Park, CA",
"Mariposa, CA",
"East Oakdale, CA",
"Anaheim, CA",351043
"Coronado, CA",25952
"Laytonville, CA",
"Westend, CA",
"Wasco, CA",26395
"Fillmore, CA",15610
"Delano, CA",52707
"Campbell, CA",40939
"Lynwood, CA",71187
"Winterhaven, CA",
