city,population_proper
"Ione, WA",450
"Tacoma, WA",211277
"Barberton, WA",
"Yacolt, WA",1690
"Coulee Dam, WA",1090
"Almota, WA",
"Skamokawa, WA",
"Woodinville, WA",12000
"Swinomish Village, WA",
"Methow, WA",
"Bay View, WA",
"Newaukum, WA",
"Meadow Glade, WA",
"Disautel, WA",
"Copalis Crossing, WA",
"Burley, WA",
"Riverside, WA",268
"Ocean Shores, WA",5831
"Bethel, WA",
"South Hill, WA",
"Baring, WA",
"Winona, WA",
"Leadpoint, WA",
"Brooklyn, WA",
"Mansfield, WA",334
"Esperance, WA",
"Springdale, WA",276
"Okanogan, WA",2561
"Cedar Mountain, WA",
"Moses Lake, WA",22641
"Littlerock, WA",
"Trentwood, WA",
"Mabton, WA",2295
"Klickitat, WA",
"Puyallup, WA",40640
"Cinebar, WA",
"San de Fuca, WA",
"Cathlamet, WA",545
"Richardson, WA",
"Sumner, WA",9969
"Davenport, WA",1688
"Cliffdell, WA",
"Fall City, WA",
"Dockton, WA",
"Conway, WA",
"Marshall, WA",
"Walla Walla, WA",32132
"Canterwood, WA",
"Lexington, WA",
"Country Homes, WA",
"Altoona, WA",
"South Cle Elum, WA",547
"Waldron, WA",
"Chesaw, WA",
"Sunnyslope, WA",
"Olympic View, WA",
"Hood, WA",
"Elbe, WA",
"Venice, WA",
"Cumberland, WA",
"Ostrander, WA",
"Cohassett Beach, WA",
"Deming, WA",
"Sekiu, WA",
"Terrace Heights, WA",
"Nemah, WA",
"Neilton, WA",
"Grays River, WA",
"Ashford, WA",
"Boistfort, WA",
"Almira, WA",267
"Bothell, WA",44546
"South Broadway, WA",
"Edwall, WA",
"Georgetown, WA",
"Maryhill, WA",
"Huntsville, WA",
"Greenbank, WA",
"Murphys Corner, WA",
"Tokeland, WA",
"Felida, WA",
"Fairview, WA",
"Tumwater, WA",22538
"Uniontown, WA",333
"Coupeville, WA",1920
"River Road, WA",
"Duvall, WA",7701
"Marcus, WA",187
"Seattle Heights, WA",
"Strandell, WA",
"Key Center, WA",
"Grand Mound, WA",
"Taholah, WA",
"Port Blakely, WA",
"Malone, WA",
"Boston Harbor, WA",
"Rainier, WA",2011
"Menlo, WA",
"Azwell, WA",
"Glendale, WA",
"Monroe, WA",18408
"Sawyer, WA",
"Clarkston, WA",7341
"Spanaway, WA",
"Gig Harbor, WA",9110
"Big Lake, WA",
"Smyrna, WA",
"Carlton, WA",
"Monitor, WA",
"Des Moines, WA",31172
"Carlisle, WA",
"Metaline Falls, WA",242
"Breidablick, WA",
"Snohomish, WA",9915
"Richland, WA",54989
"Parkland, WA",
"Veradale, WA",
"Kummer, WA",
"Woodland, WA",5952
"Washougal, WA",15466
"Boyds, WA",
"Bonney Lake, WA",20310
"South Prairie, WA",435
"Larimers Corner, WA",
"Porter, WA",
